,song_index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
1445,1445,0.755,0.561,0,-9.178,1,0.0467,0.00188,0.00939,0.309,0.289,115.053,audio_features,7rjkEHShjeeBFxN30g6OWm,spotify:track:7rjkEHShjeeBFxN30g6OWm,https://api.spotify.com/v1/tracks/7rjkEHShjeeBFxN30g6OWm,https://api.spotify.com/v1/audio-analysis/7rjkEHShjeeBFxN30g6OWm,168046,4,Dark Trap,500 on Me,,
2540,2540,0.516,0.649,6,-4.307,0,0.1939999999999999,0.591,1.77e-05,0.192,0.354,150.06799999999998,audio_features,75bfH2B3aSMK6Z2ISCKG6B,spotify:track:75bfH2B3aSMK6Z2ISCKG6B,https://api.spotify.com/v1/tracks/75bfH2B3aSMK6Z2ISCKG6B,https://api.spotify.com/v1/audio-analysis/75bfH2B3aSMK6Z2ISCKG6B,204800,3,Dark Trap,Taurine,,
3219,3219,0.633,0.931,4,-5.172000000000001,0,0.0342,0.0465,0.947,0.107,0.225,120.005,audio_features,6hlGRsmAUTXeK30lmvj3a5,spotify:track:6hlGRsmAUTXeK30lmvj3a5,https://api.spotify.com/v1/tracks/6hlGRsmAUTXeK30lmvj3a5,https://api.spotify.com/v1/audio-analysis/6hlGRsmAUTXeK30lmvj3a5,272000,4,Dark Trap,Elayshun,,
464,464,0.785,0.442,8,-13.061,0,0.444,0.111,6.670000000000001e-05,0.165,0.449,179.96099999999998,audio_features,62vRjmpzgvqIDYlFJlgTtS,spotify:track:62vRjmpzgvqIDYlFJlgTtS,https://api.spotify.com/v1/tracks/62vRjmpzgvqIDYlFJlgTtS,https://api.spotify.com/v1/audio-analysis/62vRjmpzgvqIDYlFJlgTtS,151385,4,Dark Trap,Manny,,
1451,1451,0.857,0.731,1,-6.354,1,0.0754,0.0822,0.000364,0.324,0.609,140.002,audio_features,0TKg8mG9qQX31U5qWoECjr,spotify:track:0TKg8mG9qQX31U5qWoECjr,https://api.spotify.com/v1/tracks/0TKg8mG9qQX31U5qWoECjr,https://api.spotify.com/v1/audio-analysis/0TKg8mG9qQX31U5qWoECjr,152880,4,Dark Trap,Naloxone,,
993,993,0.499,0.519,10,-9.694,0,0.105,0.562,4.75e-05,0.0903,0.241,154.436,audio_features,6LhIbVof5uPD42AZvj55KM,spotify:track:6LhIbVof5uPD42AZvj55KM,https://api.spotify.com/v1/tracks/6LhIbVof5uPD42AZvj55KM,https://api.spotify.com/v1/audio-analysis/6LhIbVof5uPD42AZvj55KM,159007,4,Dark Trap,They Said the Sky Was the Limit,,
4086,4086,0.675,0.351,4,-12.962,0,0.0415,0.3279999999999999,0.0435,0.0878,0.396,126.04,audio_features,02aRXINniTNti3MP3Pj2eT,spotify:track:02aRXINniTNti3MP3Pj2eT,https://api.spotify.com/v1/tracks/02aRXINniTNti3MP3Pj2eT,https://api.spotify.com/v1/audio-analysis/02aRXINniTNti3MP3Pj2eT,131473,4,Dark Trap,Ascension (feat. Madbliss),,
3488,3488,0.422,0.75,3,-8.919,0,0.052,0.287,0.919,0.127,0.1369999999999999,135.60299999999998,audio_features,0nPv4GNYCfK8r1OZKj8Egx,spotify:track:0nPv4GNYCfK8r1OZKj8Egx,https://api.spotify.com/v1/tracks/0nPv4GNYCfK8r1OZKj8Egx,https://api.spotify.com/v1/audio-analysis/0nPv4GNYCfK8r1OZKj8Egx,236029,4,Dark Trap,Seeker,,
2524,2524,0.385,0.7829999999999999,8,-3.3760000000000003,0,0.0587,0.00286,0.363,0.184,0.182,173.37400000000002,audio_features,2o7B4RSrntLdywRvq7FItc,spotify:track:2o7B4RSrntLdywRvq7FItc,https://api.spotify.com/v1/tracks/2o7B4RSrntLdywRvq7FItc,https://api.spotify.com/v1/audio-analysis/2o7B4RSrntLdywRvq7FItc,184615,5,Dark Trap,Weakness,,
3374,3374,0.509,0.873,9,-4.275,1,0.0529,0.0134,0.602,0.618,0.0307,123.673,audio_features,2XyyjlviQOgLBQyz7AbCls,spotify:track:2XyyjlviQOgLBQyz7AbCls,https://api.spotify.com/v1/tracks/2XyyjlviQOgLBQyz7AbCls,https://api.spotify.com/v1/audio-analysis/2XyyjlviQOgLBQyz7AbCls,311586,5,Dark Trap,Cold Sweat,,
